HeartRate,Rhythm,PRInterval,QRS,Axis,STSegment,TWave,QTc,PWave,Class
62,Regular,0.14,0.12,-35,1.21,Normal,370,Enlarged/Biphasic,Critical
67,Regular,0.17,0.09,1,0.38,Normal,459,Enlarged/Biphasic,Risky
110,Irregular,0.17,0.15,65,-0.35,Normal,370,Normal,Critical
83,Regular,0.28,0.12,64,-1.82,Flat,495,Absent/Flutter,Critical
107,PACs/PVCs,0.3,0.09,96,1.85,Biphasic,457,Normal,Critical
69,VF,0.21,0.12,-50,1.82,Flat,491,Enlarged/Biphasic,Critical
67,PACs/PVCs,0.12,0.15,133,1.1,Mild Inverted,410,Absent/Flutter,Critical
129,AFib,0.23,0.1,129,-1.52,Mild Inverted,411,Absent/Flutter,Critical
101,AFib,0.18,0.11,2,-1.91,Normal,445,Enlarged/Biphasic,Critical
45,Regular,0.1,0.15,39,-1.81,Mild Inverted,471,Normal,Critical
49,PACs/PVCs,0.18,0.12,29,-0.83,Deep Inverted,493,Absent/Flutter,Critical
47,Irregular,0.16,0.09,82,0.38,Tall,429,Absent/Flutter,Critical
66,Irregular,0.19,0.11,-33,0.39,Deep Inverted,357,Normal,Critical
81,VF,0.22,0.12,-112,-0.35,Deep Inverted,368,Normal,Critical
73,VF,0.19,0.14,29,-0.93,Flat,380,Enlarged/Biphasic,Risky
74,VF,0.12,0.12,75,-0.18,Tall,441,Normal,Critical
86,AFib,0.15,0.1,-15,-0.51,Flat,364,Absent/Flutter,Critical
84,VF,0.2,0.16,63,-0.62,Normal,379,Enlarged/Biphasic,Critical
40,VF,0.26,0.11,-85,-0.41,Tall,388,Absent/Flutter,Critical
108,PACs/PVCs,0.17,0.09,20,1.37,Biphasic,466,Normal,Critical
113,PACs/PVCs,0.29,0.14,-119,0.13,Tall,481,Normal,Critical
111,PACs/PVCs,0.25,0.1,-78,0.57,Normal,389,Normal,Critical
100,VF,0.2,0.09,-55,1.63,Tall,341,Normal,Critical
101,Regular,0.28,0.12,74,-1.07,Tall,474,Absent/Flutter,Critical
91,AFib,0.25,0.14,143,0.91,Normal,442,Normal,Critical
78,AFib,0.29,0.13,53,1.31,Deep Inverted,471,Enlarged/Biphasic,Critical
88,AFib,0.2,0.14,-9,-1.51,Normal,381,Enlarged/Biphasic,Critical
88,VF,0.2,0.1,7,-1.57,Biphasic,455,Absent/Flutter,Critical
66,VF,0.28,0.15,130,-0.21,Mild Inverted,460,Normal,Critical
93,Irregular,0.14,0.08,-119,0.01,Biphasic,340,Absent/Flutter,Critical
66,AFib,0.13,0.08,-66,-0.88,Deep Inverted,485,Enlarged/Biphasic,Critical
97,AFib,0.29,0.14,-109,1.49,Flat,392,Normal,Critical
57,PACs/PVCs,0.26,0.15,-62,-1.11,Deep Inverted,479,Absent/Flutter,Critical
106,Regular,0.11,0.09,-80,0.71,Mild Inverted,490,Normal,Critical
126,VF,0.18,0.15,93,1.73,Flat,341,Absent/Flutter,Critical
125,Regular,0.16,0.14,-33,0.83,Mild Inverted,466,Normal,Critical
49,Regular,0.2,0.11,-30,-0.27,Tall,396,Absent/Flutter,Critical
111,PACs/PVCs,0.28,0.1,19,0.4,Biphasic,461,Normal,Critical
95,Irregular,0.15,0.15,64,0.5,Tall,396,Enlarged/Biphasic,Critical
91,Regular,0.26,0.09,84,-1.78,Flat,381,Enlarged/Biphasic,Critical
40,PACs/PVCs,0.12,0.16,-101,-1.66,Deep Inverted,356,Normal,Critical
85,AFib,0.14,0.15,-93,-0.17,Tall,432,Normal,Critical
113,PACs/PVCs,0.23,0.12,-68,-1.34,Deep Inverted,384,Enlarged/Biphasic,Critical
79,PACs/PVCs,0.19,0.15,-59,0.45,Normal,433,Normal,Critical
70,AFib,0.14,0.14,-76,0.15,Flat,471,Enlarged/Biphasic,Critical
55,AFib,0.13,0.12,57,1.95,Tall,400,Enlarged/Biphasic,Critical
98,Regular,0.19,0.11,-34,0.74,Normal,340,Normal,Critical
102,Regular,0.21,0.12,24,0.7,Flat,386,Normal,Risky
127,PACs/PVCs,0.1,0.14,25,1.09,Flat,383,Absent/Flutter,Critical
71,VF,0.13,0.11,57,-0.59,Biphasic,489,Enlarged/Biphasic,Critical
129,Irregular,0.14,0.1,-104,0.36,Biphasic,399,Enlarged/Biphasic,Critical
111,PACs/PVCs,0.16,0.09,110,-1.81,Flat,450,Enlarged/Biphasic,Critical
85,VF,0.29,0.14,91,0.63,Flat,405,Normal,Critical
100,Irregular,0.24,0.11,55,-1.11,Deep Inverted,357,Enlarged/Biphasic,Critical
78,VF,0.22,0.14,64,1.02,Biphasic,395,Enlarged/Biphasic,Critical
57,PACs/PVCs,0.29,0.1,105,-0.53,Flat,432,Normal,Critical
96,PACs/PVCs,0.17,0.14,-16,0.47,Biphasic,449,Normal,Risky
125,PACs/PVCs,0.13,0.14,141,1.23,Normal,474,Enlarged/Biphasic,Critical
114,VF,0.28,0.13,-84,-1.24,Flat,459,Normal,Critical
115,Regular,0.16,0.1,107,-1.5,Normal,444,Normal,Critical
106,AFib,0.12,0.12,10,-1.48,Deep Inverted,417,Enlarged/Biphasic,Critical
81,VF,0.17,0.16,-79,-0.72,Mild Inverted,492,Normal,Critical
83,Regular,0.13,0.12,147,-0.11,Biphasic,369,Normal,Critical
127,Regular,0.22,0.11,122,0.44,Flat,366,Absent/Flutter,Critical
113,PACs/PVCs,0.24,0.15,-4,-1.73,Tall,494,Normal,Critical
98,PACs/PVCs,0.2,0.16,-84,0.11,Mild Inverted,404,Absent/Flutter,Critical
118,AFib,0.28,0.1,91,1.88,Normal,437,Absent/Flutter,Critical
52,Irregular,0.11,0.13,-6,1.73,Normal,402,Normal,Critical
62,PACs/PVCs,0.23,0.09,-11,-1.97,Deep Inverted,435,Normal,Critical
78,Regular,0.26,0.13,-53,1.71,Normal,488,Normal,Critical
61,PACs/PVCs,0.28,0.1,134,0.4,Mild Inverted,483,Enlarged/Biphasic,Critical
112,Irregular,0.26,0.14,-59,-0.18,Normal,376,Absent/Flutter,Critical
124,Irregular,0.18,0.09,-58,-0.63,Flat,442,Enlarged/Biphasic,Critical
44,Regular,0.22,0.11,31,0.08,Biphasic,472,Normal,Critical
47,AFib,0.24,0.13,23,0.37,Normal,496,Absent/Flutter,Critical
88,Regular,0.26,0.12,135,1.25,Mild Inverted,426,Absent/Flutter,Critical
121,Regular,0.23,0.09,-36,-1.87,Biphasic,425,Enlarged/Biphasic,Critical
47,AFib,0.13,0.13,-98,0.05,Biphasic,369,Normal,Critical
90,Regular,0.23,0.16,125,1.62,Biphasic,387,Enlarged/Biphasic,Critical
119,VF,0.11,0.11,69,0.32,Tall,397,Normal,Critical
88,Irregular,0.11,0.13,123,1.59,Deep Inverted,340,Normal,Critical
109,AFib,0.27,0.12,-80,-0.82,Tall,363,Absent/Flutter,Critical
95,AFib,0.24,0.09,43,-0.43,Normal,459,Normal,Risky
53,VF,0.12,0.1,60,0.51,Deep Inverted,420,Enlarged/Biphasic,Critical
127,Irregular,0.15,0.13,-66,-1.19,Deep Inverted,461,Enlarged/Biphasic,Critical
105,VF,0.13,0.11,84,-1.06,Mild Inverted,453,Normal,Critical
50,VF,0.23,0.14,91,-0.4,Flat,412,Enlarged/Biphasic,Risky
125,PACs/PVCs,0.14,0.13,18,-1.9,Tall,399,Absent/Flutter,Critical
78,Irregular,0.25,0.13,-62,-0.38,Flat,454,Normal,Risky
122,PACs/PVCs,0.16,0.13,55,0.26,Flat,397,Absent/Flutter,Critical
77,PACs/PVCs,0.2,0.1,-112,-0.24,Tall,480,Enlarged/Biphasic,Critical
65,VF,0.29,0.13,107,-0.29,Flat,345,Absent/Flutter,Critical
107,VF,0.26,0.1,36,0.4,Deep Inverted,367,Normal,Critical
75,PACs/PVCs,0.25,0.14,38,-0.29,Flat,359,Enlarged/Biphasic,Critical
91,PACs/PVCs,0.27,0.13,88,-0.64,Biphasic,408,Enlarged/Biphasic,Critical
120,Regular,0.25,0.09,131,-0.5,Flat,495,Enlarged/Biphasic,Critical
56,Regular,0.21,0.13,115,-0.85,Deep Inverted,483,Enlarged/Biphasic,Critical
57,Regular,0.26,0.16,130,-1.92,Biphasic,494,Enlarged/Biphasic,Critical
59,VF,0.16,0.14,77,-1.09,Deep Inverted,497,Absent/Flutter,Critical
60,PACs/PVCs,0.19,0.12,61,0.13,Flat,446,Normal,Risky
62,Irregular,0.29,0.11,-81,-0.03,Biphasic,465,Absent/Flutter,Critical
112,Irregular,0.12,0.14,23,-1.28,Tall,462,Normal,Critical
107,PACs/PVCs,0.14,0.1,109,-0.23,Biphasic,355,Normal,Critical
127,PACs/PVCs,0.3,0.13,-82,-1.26,Tall,395,Absent/Flutter,Critical
74,VF,0.27,0.08,123,0.31,Deep Inverted,441,Normal,Critical
98,Irregular,0.23,0.09,53,-1.84,Biphasic,496,Enlarged/Biphasic,Critical
75,PACs/PVCs,0.25,0.09,137,-1.78,Mild Inverted,474,Enlarged/Biphasic,Critical
65,Irregular,0.2,0.1,129,-1.67,Mild Inverted,375,Absent/Flutter,Critical
95,Regular,0.29,0.08,19,-0.97,Flat,485,Absent/Flutter,Critical
66,Irregular,0.24,0.09,1,-0.26,Biphasic,412,Enlarged/Biphasic,Risky
94,VF,0.14,0.09,-100,0.56,Deep Inverted,354,Absent/Flutter,Critical
103,VF,0.22,0.1,-6,1.5,Mild Inverted,444,Enlarged/Biphasic,Critical
51,Regular,0.17,0.16,10,-1.77,Flat,352,Absent/Flutter,Critical
79,AFib,0.17,0.11,81,0.02,Biphasic,344,Enlarged/Biphasic,Critical
122,VF,0.17,0.09,126,-0.61,Mild Inverted,381,Normal,Critical
48,PACs/PVCs,0.1,0.09,-70,-1.53,Tall,495,Enlarged/Biphasic,Critical
41,AFib,0.28,0.11,69,1.52,Biphasic,483,Enlarged/Biphasic,Critical
82,VF,0.19,0.15,48,0.7,Flat,384,Normal,Critical
89,Regular,0.13,0.14,20,-1.13,Mild Inverted,351,Normal,Critical
117,Regular,0.24,0.14,-54,-0.86,Biphasic,407,Absent/Flutter,Critical
115,AFib,0.14,0.09,148,0.16,Mild Inverted,471,Enlarged/Biphasic,Critical
93,VF,0.14,0.14,-4,0.29,Biphasic,422,Absent/Flutter,Critical
58,Irregular,0.2,0.13,-11,-1.96,Biphasic,394,Enlarged/Biphasic,Critical
91,VF,0.19,0.15,-79,-0.83,Normal,438,Normal,Critical
113,Regular,0.22,0.14,-78,0.26,Flat,369,Normal,Critical
81,Regular,0.28,0.16,53,1.16,Biphasic,466,Normal,Critical
102,Regular,0.12,0.08,131,0.39,Flat,362,Enlarged/Biphasic,Critical
41,VF,0.17,0.16,-24,1.46,Deep Inverted,389,Enlarged/Biphasic,Critical
94,AFib,0.22,0.1,-14,-0.18,Tall,393,Absent/Flutter,Critical
66,VF,0.21,0.13,0,1.25,Tall,497,Absent/Flutter,Critical
94,PACs/PVCs,0.26,0.08,47,1.97,Tall,446,Normal,Critical
49,Irregular,0.19,0.09,-84,1.62,Deep Inverted,477,Enlarged/Biphasic,Critical
110,PACs/PVCs,0.17,0.12,-62,0.78,Biphasic,453,Absent/Flutter,Critical
70,PACs/PVCs,0.23,0.11,119,1.62,Tall,420,Normal,Critical
69,Irregular,0.22,0.15,-100,0.42,Mild Inverted,496,Normal,Critical
97,Irregular,0.21,0.15,18,-1.6,Tall,388,Enlarged/Biphasic,Critical
83,VF,0.13,0.09,27,1.03,Tall,484,Enlarged/Biphasic,Critical
116,PACs/PVCs,0.11,0.14,-23,-0.45,Flat,440,Absent/Flutter,Critical
99,Regular,0.12,0.15,20,1.18,Normal,489,Normal,Critical
62,Irregular,0.28,0.1,-80,1.09,Mild Inverted,353,Enlarged/Biphasic,Critical
88,Irregular,0.26,0.11,107,-1.09,Deep Inverted,479,Enlarged/Biphasic,Critical
44,Regular,0.17,0.09,-91,-1.04,Normal,374,Absent/Flutter,Critical
50,VF,0.12,0.12,-93,1.72,Tall,452,Absent/Flutter,Critical
52,PACs/PVCs,0.19,0.1,-113,-0.24,Deep Inverted,371,Normal,Critical
108,AFib,0.12,0.13,83,-0.6,Tall,496,Absent/Flutter,Critical
85,PACs/PVCs,0.29,0.11,-65,-1.04,Tall,450,Absent/Flutter,Critical
63,Irregular,0.17,0.09,-66,0.25,Deep Inverted,371,Enlarged/Biphasic,Critical
65,PACs/PVCs,0.14,0.12,139,1.31,Mild Inverted,451,Enlarged/Biphasic,Critical
63,AFib,0.17,0.08,-10,-1.91,Biphasic,483,Normal,Critical
125,VF,0.18,0.11,60,-1.07,Tall,404,Absent/Flutter,Critical
41,Irregular,0.23,0.14,-79,-1.63,Deep Inverted,360,Normal,Critical
43,AFib,0.14,0.11,47,0.31,Deep Inverted,398,Enlarged/Biphasic,Critical
55,VF,0.24,0.13,74,1.18,Tall,482,Absent/Flutter,Critical
108,Irregular,0.15,0.15,119,-0.55,Deep Inverted,464,Normal,Critical
75,Regular,0.15,0.09,37,-0.11,Deep Inverted,379,Enlarged/Biphasic,Critical
125,Irregular,0.13,0.09,149,-1.17,Tall,496,Normal,Critical
109,Irregular,0.3,0.11,-115,-0.83,Tall,357,Enlarged/Biphasic,Critical
65,PACs/PVCs,0.26,0.15,-75,1.24,Mild Inverted,447,Enlarged/Biphasic,Critical
46,PACs/PVCs,0.16,0.15,-40,-1.12,Normal,478,Absent/Flutter,Critical
73,Regular,0.15,0.14,-67,1.19,Deep Inverted,475,Absent/Flutter,Critical
73,AFib,0.25,0.1,-79,-0.22,Biphasic,346,Absent/Flutter,Critical
61,VF,0.12,0.12,-50,-0.24,Mild Inverted,361,Absent/Flutter,Critical
54,PACs/PVCs,0.2,0.13,14,1.8,Deep Inverted,474,Normal,Critical
85,VF,0.29,0.1,-82,1.18,Deep Inverted,447,Normal,Critical
64,AFib,0.28,0.09,-116,1.68,Deep Inverted,361,Enlarged/Biphasic,Critical
50,VF,0.14,0.15,85,-1.52,Deep Inverted,364,Normal,Critical
45,Irregular,0.17,0.15,-3,-0.27,Flat,380,Normal,Critical
113,Irregular,0.29,0.13,75,0.77,Flat,363,Absent/Flutter,Critical
95,AFib,0.12,0.11,-117,0.45,Deep Inverted,458,Normal,Critical
92,Irregular,0.28,0.09,133,1.8,Normal,457,Enlarged/Biphasic,Critical
78,AFib,0.28,0.14,-87,1.51,Mild Inverted,467,Enlarged/Biphasic,Critical
67,Irregular,0.28,0.12,108,1.54,Biphasic,362,Enlarged/Biphasic,Critical
129,PACs/PVCs,0.26,0.1,-110,1.34,Mild Inverted,440,Enlarged/Biphasic,Critical
58,PACs/PVCs,0.27,0.14,125,1.54,Biphasic,347,Absent/Flutter,Critical
47,PACs/PVCs,0.12,0.09,14,0.59,Mild Inverted,409,Normal,Critical
121,VF,0.17,0.14,-67,-0.06,Normal,494,Normal,Critical
85,AFib,0.28,0.09,-109,-0.33,Deep Inverted,376,Normal,Critical
46,PACs/PVCs,0.22,0.1,7,-1.67,Tall,399,Absent/Flutter,Critical
66,AFib,0.17,0.1,-47,1.05,Deep Inverted,344,Enlarged/Biphasic,Critical
79,PACs/PVCs,0.19,0.09,140,1.75,Flat,381,Normal,Critical
73,PACs/PVCs,0.22,0.09,146,1.29,Mild Inverted,420,Normal,Critical
112,Irregular,0.25,0.09,-98,1.04,Flat,471,Absent/Flutter,Critical
105,Irregular,0.12,0.11,-112,-1.19,Tall,457,Enlarged/Biphasic,Critical
84,AFib,0.11,0.15,8,-1.6,Mild Inverted,416,Enlarged/Biphasic,Critical
126,AFib,0.19,0.09,84,-1.36,Mild Inverted,429,Absent/Flutter,Critical
127,AFib,0.12,0.15,110,1.79,Deep Inverted,444,Absent/Flutter,Critical
81,AFib,0.18,0.1,60,-0.71,Normal,468,Normal,Risky
60,PACs/PVCs,0.29,0.13,12,0.84,Biphasic,419,Absent/Flutter,Critical
101,Regular,0.24,0.14,137,-0.65,Mild Inverted,411,Normal,Critical
90,Irregular,0.28,0.12,-7,-0.88,Normal,355,Enlarged/Biphasic,Critical
111,AFib,0.25,0.14,59,-1.17,Flat,446,Absent/Flutter,Critical
111,AFib,0.25,0.12,19,-1.45,Biphasic,447,Enlarged/Biphasic,Critical
48,Irregular,0.26,0.09,-51,0.47,Biphasic,401,Absent/Flutter,Critical
59,AFib,0.14,0.13,85,-1.41,Normal,416,Enlarged/Biphasic,Critical
116,Regular,0.25,0.09,17,1.02,Flat,362,Normal,Critical
48,PACs/PVCs,0.19,0.08,-4,-0.52,Mild Inverted,483,Absent/Flutter,Critical
126,Regular,0.28,0.11,7,-0.99,Mild Inverted,471,Absent/Flutter,Critical
60,VF,0.28,0.14,120,-0.98,Mild Inverted,453,Normal,Critical
102,Irregular,0.13,0.15,37,1.16,Flat,362,Normal,Critical
80,VF,0.17,0.14,-13,0.14,Tall,351,Absent/Flutter,Critical
45,VF,0.3,0.13,17,-0.49,Mild Inverted,477,Absent/Flutter,Critical
63,PACs/PVCs,0.14,0.09,-61,0.79,Mild Inverted,353,Normal,Critical
52,AFib,0.28,0.14,-101,-1.72,Flat,396,Absent/Flutter,Critical
58,Regular,0.12,0.16,-84,-1.92,Biphasic,459,Normal,Critical
43,AFib,0.22,0.1,-86,0.6,Biphasic,481,Normal,Critical
115,PACs/PVCs,0.28,0.1,90,0.57,Normal,421,Normal,Critical
129,PACs/PVCs,0.17,0.11,116,-0.31,Mild Inverted,349,Enlarged/Biphasic,Critical
44,Regular,0.3,0.12,-30,-0.33,Biphasic,455,Enlarged/Biphasic,Critical
96,PACs/PVCs,0.12,0.15,-35,-0.81,Flat,420,Enlarged/Biphasic,Critical
121,AFib,0.24,0.13,118,-1.61,Tall,450,Enlarged/Biphasic,Critical
40,Irregular,0.1,0.11,108,-0.39,Flat,455,Absent/Flutter,Critical
56,Regular,0.13,0.15,-2,1.12,Flat,449,Normal,Critical
116,AFib,0.18,0.08,-41,-1.11,Deep Inverted,390,Enlarged/Biphasic,Critical
64,Regular,0.24,0.09,122,1.35,Flat,420,Normal,Critical
55,Regular,0.22,0.12,-36,1.37,Flat,467,Normal,Critical
58,Regular,0.27,0.16,136,0.29,Flat,445,Absent/Flutter,Critical
84,AFib,0.13,0.12,-108,-0.8,Flat,417,Enlarged/Biphasic,Critical
65,Irregular,0.21,0.15,89,-0.62,Mild Inverted,466,Enlarged/Biphasic,Critical
45,Regular,0.26,0.12,0,1.68,Biphasic,425,Normal,Critical
54,Regular,0.2,0.14,-85,-0.95,Flat,403,Normal,Risky
75,Regular,0.14,0.11,88,-1.84,Flat,429,Normal,Critical
114,PACs/PVCs,0.24,0.09,-44,1.71,Mild Inverted,358,Absent/Flutter,Critical
50,Irregular,0.13,0.09,-89,1.12,Normal,380,Absent/Flutter,Critical
124,Irregular,0.29,0.08,-7,-0.9,Biphasic,480,Enlarged/Biphasic,Critical
121,Regular,0.23,0.15,-117,-1.71,Normal,422,Normal,Critical
82,PACs/PVCs,0.17,0.08,32,1.05,Normal,437,Absent/Flutter,Critical
103,Regular,0.14,0.09,146,-0.4,Flat,483,Enlarged/Biphasic,Critical
80,Regular,0.12,0.13,76,-0.09,Tall,481,Enlarged/Biphasic,Critical
57,VF,0.14,0.15,66,-0.98,Mild Inverted,409,Absent/Flutter,Critical
52,Irregular,0.28,0.14,146,0.66,Biphasic,489,Normal,Critical
42,Regular,0.24,0.13,11,1.7,Flat,446,Enlarged/Biphasic,Critical
46,PACs/PVCs,0.29,0.12,80,1.44,Normal,372,Normal,Critical
108,PACs/PVCs,0.12,0.14,100,1.79,Deep Inverted,355,Enlarged/Biphasic,Critical
58,VF,0.26,0.12,44,1.47,Tall,451,Normal,Critical
80,Irregular,0.2,0.1,-81,0.41,Mild Inverted,415,Absent/Flutter,Critical
64,VF,0.16,0.11,-109,-1.66,Flat,341,Absent/Flutter,Critical
44,Regular,0.26,0.14,45,0.45,Deep Inverted,461,Enlarged/Biphasic,Critical
73,AFib,0.26,0.16,142,1.91,Mild Inverted,345,Normal,Critical
98,PACs/PVCs,0.26,0.1,17,-1.86,Tall,478,Absent/Flutter,Critical
55,AFib,0.21,0.11,107,-0.9,Mild Inverted,496,Enlarged/Biphasic,Critical
72,VF,0.23,0.09,-63,0.55,Mild Inverted,469,Normal,Risky
59,PACs/PVCs,0.18,0.12,-69,0.42,Tall,391,Absent/Flutter,Critical
98,VF,0.13,0.1,-40,-0.08,Biphasic,402,Enlarged/Biphasic,Risky
50,PACs/PVCs,0.13,0.11,36,-0.95,Normal,364,Normal,Risky
79,PACs/PVCs,0.21,0.11,120,1.17,Normal,419,Absent/Flutter,Critical
105,PACs/PVCs,0.24,0.14,13,-1.51,Deep Inverted,391,Normal,Critical
49,Irregular,0.29,0.15,-113,-1.13,Tall,498,Normal,Critical
126,VF,0.21,0.12,110,0.15,Deep Inverted,342,Enlarged/Biphasic,Critical
62,VF,0.21,0.09,13,-0.83,Flat,426,Absent/Flutter,Critical
64,PACs/PVCs,0.12,0.09,145,1.77,Biphasic,467,Absent/Flutter,Critical
57,AFib,0.27,0.08,-86,1.61,Deep Inverted,402,Absent/Flutter,Critical
126,PACs/PVCs,0.19,0.08,-87,1.35,Normal,377,Enlarged/Biphasic,Critical
99,AFib,0.26,0.15,-70,-0.22,Flat,430,Absent/Flutter,Critical
75,Regular,0.15,0.11,27,-1.93,Deep Inverted,442,Normal,Critical
73,AFib,0.25,0.09,-85,0.35,Mild Inverted,455,Enlarged/Biphasic,Risky
113,Irregular,0.12,0.16,-79,1.15,Deep Inverted,430,Absent/Flutter,Critical
95,AFib,0.3,0.11,118,-1.08,Tall,468,Absent/Flutter,Critical
58,AFib,0.11,0.11,148,-0.8,Mild Inverted,420,Absent/Flutter,Critical
58,PACs/PVCs,0.29,0.09,-30,0.13,Deep Inverted,418,Enlarged/Biphasic,Critical
68,Regular,0.12,0.1,-85,-1.04,Biphasic,480,Absent/Flutter,Critical
61,Regular,0.18,0.15,42,-0.14,Tall,451,Enlarged/Biphasic,Critical
106,PACs/PVCs,0.14,0.09,148,-1.5,Biphasic,368,Enlarged/Biphasic,Critical
121,PACs/PVCs,0.2,0.09,-59,-1.9,Normal,388,Absent/Flutter,Critical
79,Irregular,0.12,0.09,76,-0.52,Biphasic,377,Normal,Risky
90,Regular,0.24,0.09,25,-0.12,Mild Inverted,487,Enlarged/Biphasic,Critical
117,VF,0.26,0.14,132,-1.74,Deep Inverted,498,Absent/Flutter,Critical
126,PACs/PVCs,0.28,0.13,112,0.24,Tall,384,Enlarged/Biphasic,Critical
56,VF,0.16,0.1,-107,-0.53,Normal,375,Absent/Flutter,Critical
122,Irregular,0.3,0.15,130,-0.89,Mild Inverted,413,Absent/Flutter,Critical
55,Regular,0.25,0.11,-17,1.07,Mild Inverted,340,Absent/Flutter,Critical
80,VF,0.13,0.15,-41,-0.78,Tall,449,Absent/Flutter,Critical
57,VF,0.3,0.14,-52,0.24,Normal,449,Enlarged/Biphasic,Critical
128,AFib,0.24,0.09,30,-1.99,Flat,432,Enlarged/Biphasic,Critical
89,Irregular,0.21,0.1,21,0.22,Tall,357,Normal,Critical
67,AFib,0.29,0.11,82,1.38,Normal,451,Normal,Critical
111,PACs/PVCs,0.26,0.13,21,1.53,Normal,360,Absent/Flutter,Critical
115,AFib,0.17,0.14,33,-1.59,Biphasic,484,Normal,Critical
63,Irregular,0.28,0.14,131,1.74,Biphasic,389,Absent/Flutter,Critical
111,PACs/PVCs,0.23,0.14,29,-1.08,Biphasic,342,Enlarged/Biphasic,Critical
108,VF,0.22,0.1,-27,-1.82,Mild Inverted,441,Absent/Flutter,Critical
108,Irregular,0.26,0.12,0,-1.24,Mild Inverted,475,Absent/Flutter,Critical
63,Irregular,0.2,0.14,40,0.11,Tall,483,Enlarged/Biphasic,Critical
43,AFib,0.13,0.12,54,-1.54,Normal,391,Absent/Flutter,Critical
90,Irregular,0.26,0.13,76,-1.46,Tall,360,Absent/Flutter,Critical
83,Irregular,0.21,0.11,-83,0.15,Mild Inverted,423,Normal,Risky
78,Irregular,0.19,0.12,99,1.55,Flat,354,Absent/Flutter,Critical
102,AFib,0.16,0.1,-66,0.57,Deep Inverted,365,Normal,Critical
96,PACs/PVCs,0.24,0.13,-114,1.59,Biphasic,386,Enlarged/Biphasic,Critical
48,VF,0.1,0.13,-59,-1.01,Tall,451,Normal,Critical
80,VF,0.25,0.1,97,-0.94,Normal,446,Absent/Flutter,Critical
74,PACs/PVCs,0.14,0.12,-94,-1.63,Tall,344,Normal,Critical
113,VF,0.18,0.1,-39,-1.09,Tall,364,Absent/Flutter,Critical
87,PACs/PVCs,0.13,0.1,-81,-0.58,Deep Inverted,372,Enlarged/Biphasic,Critical
81,Irregular,0.11,0.09,-108,1.09,Flat,403,Enlarged/Biphasic,Critical
85,AFib,0.15,0.12,-41,-1.93,Mild Inverted,437,Enlarged/Biphasic,Critical
122,VF,0.22,0.1,-60,0.53,Mild Inverted,408,Absent/Flutter,Critical
108,Irregular,0.16,0.11,-28,0.13,Deep Inverted,456,Enlarged/Biphasic,Critical
129,AFib,0.27,0.15,77,-1.68,Mild Inverted,361,Absent/Flutter,Critical
112,VF,0.18,0.16,-72,-0.12,Deep Inverted,438,Normal,Critical
111,Irregular,0.19,0.08,-68,-1.14,Tall,360,Normal,Critical
123,Irregular,0.13,0.12,-111,1.37,Deep Inverted,381,Enlarged/Biphasic,Critical
46,Irregular,0.11,0.11,4,1.39,Deep Inverted,390,Normal,Critical
